B组(Q21-Q23)
西部的一所中学规定学生不准穿着校服在附近的购物中心或邻里闲逛。
不过,一些学生却明知故犯,校方只好安排训育主任去“抓人”。
受访的校长表示,近几个月来,他接获了许多投诉,指一些学生在购物中心
里,长时间占住座位,大声谈笑,骂粗话,完全不顾旁人的感受。购物中心的
保安人员透露,有些学生还站在门口抽烟。他觉得这些害群之马的无礼行为严重
地破坏了学校的形象。如果校方不采取行动,学校的名声和校风恐怕将会受到
影响。
针对这所中学的校规,有些学生认为太严格了。校长说:“如果学生都能
维护学校良好的形象,在外守秩序,行为端正有礼,学校就不再限制学生穿着
校服在外逛街了。”
Q21. 以下哪一项不是公众向校方提出的投诉?
(1) 骂粗话
(2) 大声谈笑
(3) 占住座位
(4) 穿校服逛街
Q22. 以下哪一句是正确的?
(1) 校方劝学生不要穿着校服在外抽烟。
(2) 校方要训育主任处罚那些犯规的学生。
(3) 校方请保安人员到购物中心去“抓人”
(4) 校方认为学生应该维护学校的良好形象。
Q23. 以下哪一个选项最适合作为这则新闻的标题?
(1) 学生抽烟,保安投诉
(2) 校规太严,学生不满
(3) 身着校服逛街,学校OK!
(4) 学生行为不当,校方采取行动
6
